id,business_description,domain_suggestions,business_type,complexity,is_edge_case,num_suggestions,keywords,city,instruction_format,edge_case_category
650,design landscaping in Philadelphia,"['smartoutd.net', 'landscapeexpress.com', 'landscapingpro.net', 'landscapingphiladelphia.com', 'smartgreen.com', 'philadelphiagreenoutdoor.com']",landscaping,medium,False,6,"['design', 'landscaping', 'philadelphia']",Philadelphia,"Generate domain name suggestions for the following business:

Business: design landscaping in Philadelphia

Domain suggestions:
- smartoutd.net
- landscapeexpress.com
- landscapingpro.net
- landscapingphiladelphia.com
- smartgreen.com
- philadelphiagreenoutdoor.com",
180,healthcare clinic specializing in family practice,"['labhealth.co', 'carehealth.net', 'healthcareclinicpro.com', 'sanjosehealth.com', 'practiio.com', 'topdoctor.com', 'sanjosespec.com']",healthcare_clinic,medium,False,7,"['healthcare', 'clinic', 'specializing', 'family', 'practice']",San Jose,"Generate domain name suggestions for the following business:

Business: healthcare clinic specializing in family practice

Domain suggestions:
- labhealth.co
- carehealth.net
- healthcareclinicpro.com
- sanjosehealth.com
- practiio.com
- topdoctor.com
- sanjosespec.com",
151,mobile veterinary clinic in Charlotte,"['veterinaryclinicexpert.com', 'charlotteveterinary.com', 'proveterinary.net', 'spotveterinary.com', 'spotvet.com', 'animalveterinaryvet.com']",veterinary_clinic,medium,False,6,"['mobile', 'veterinary', 'clinic', 'charlotte']",Charlotte,"Generate domain name suggestions for the following business:

Business: mobile veterinary clinic in Charlotte

Domain suggestions:
- veterinaryclinicexpert.com
- charlotteveterinary.com
- proveterinary.net
- spotveterinary.com
- spotvet.com
- animalveterinaryvet.com",
139,law firm,"['advocateattorneyjustice.com', 'attorneycounsel.net', 'lawpro.com', 'defenspot.com', 'defenserights.com', 'counsellawfirm.com']",law_firm,simple,False,6,"['law', 'firm']",,"Generate domain name suggestions for the following business:

Business: law firm

Domain suggestions:
- advocateattorneyjustice.com
- attorneycounsel.net
- lawpro.com
- defenspot.com
- defenserights.com
- counsellawfirm.com",
276,cleaning service,"['freshspotless.com', 'cleaningspotless.net', 'servicefreshspotless.com', 'topfresh.com']",cleaning_service,simple,False,4,"['cleaning', 'service']",,"Generate domain name suggestions for the following business:

Business: cleaning service

Domain suggestions:
- freshspotless.com
- cleaningspotless.net
- servicefreshspotless.com
- topfresh.com",
285,award-winning coffee shop offering local roaster services in the hillside area of San Antonio,"['latte.com', 'proespr.com', 'awardcafelocal.com', 'localmorning.com']",coffee_shop,complex,False,4,"['award', 'winning', 'coffee', 'shop', 'offering', 'local', 'roaster', 'services', 'hillside', 'san', 'antonio']",San Antonio,"Generate domain name suggestions for the following business:

Business: award-winning coffee shop offering local roaster services in the hillside area of San Antonio

Domain suggestions:
- latte.com
- proespr.com
- awardcafelocal.com
- localmorning.com",
843,social media marketing agency in uptown,"['socialphiladelphia.net', 'bestmarke.co', 'mediacreativemarketing.com', 'brandco.com', 'creativebest.com', 'socialtop.com']",marketing_agency,medium,False,6,"['social', 'media', 'marketing', 'agency', 'uptown']",Philadelphia,"Generate domain name suggestions for the following business:

Business: social media marketing agency in uptown

Domain suggestions:
- socialphiladelphia.net
- bestmarke.co
- mediacreativemarketing.com
- brandco.com
- creativebest.com
- socialtop.com",
534,"We are a locally-owned fitness center in Washington DC specializing in martial arts, committed to providing excellent martial arts services","['zoneowned.co', 'serviceswashingtonlocally.com', 'locallyservices.com', 'placemartial.com', 'healthco.com', 'fitnesco.com']",fitness_center,complex,False,6,"['locally', 'owned', 'fitness', 'center', 'washington', 'specializing', 'martial', 'arts', 'committed', 'providing', 'excellent', 'martial', 'arts', 'services']",Washington DC,"Generate domain name suggestions for the following business:

Business: We are a locally-owned fitness center in Washington DC specializing in martial arts, committed to providing excellent martial arts services

Domain suggestions:
- zoneowned.co
- serviceswashingtonlocally.com
- locallyservices.com
- placemartial.com
- healthco.com
- fitnesco.com",
262,local retail store offering toys services,"['bestserv.com', 'boutiquestore.com', 'easyshop.co', 'sanantonioboutique.com']",retail_store,medium,False,4,"['local', 'retail', 'store', 'offering', 'toys', 'services']",San Antonio,"Generate domain name suggestions for the following business:

Business: local retail store offering toys services

Domain suggestions:
- bestserv.com
- boutiquestore.com
- easyshop.co
- sanantonioboutique.com",
770,alternative medicine healthcare clinic in riverside,"['family72.com', 'familyhealingwellness.com', 'baltimoreriverside.com', 'healinfy.co', 'doctoralternative.com', 'baltimoreheal.com']",healthcare_clinic,medium,False,6,"['alternative', 'medicine', 'healthcare', 'clinic', 'riverside']",Baltimore,"Generate domain name suggestions for the following business:

Business: alternative medicine healthcare clinic in riverside

Domain suggestions:
- family72.com
- familyhealingwellness.com
- baltimoreriverside.com
- healinfy.co
- doctoralternative.com
- baltimoreheal.com",
96,award-winning law firm offering immigration services in the suburban area of Houston,"['defensehouston.com', 'suburlab.co', 'lawfirmplace.com']",law_firm,complex,False,3,"['award', 'winning', 'law', 'firm', 'offering', 'immigration', 'services', 'suburban', 'houston']",Houston,"Generate domain name suggestions for the following business:

Business: award-winning law firm offering immigration services in the suburban area of Houston

Domain suggestions:
- defensehouston.com
- suburlab.co
- lawfirmplace.com",
edge_49,"A comprehensive full-service professional retail store specializing in sporting goods, sporting goods, and furniture located in the heart of San Antonio with over 37 years of combined experience serving the local community with award-winning customer service and innovative solutions for all your retail store needs and requirements, committed to excellence and customer satisfaction","['comprehensive.com', 'comprehensivepro.com', 'bestcomprehensive.com', 'full.com', 'fullpro.com']",retail_store,edge_case,True,5,,,"Generate domain name suggestions for the following business:

Business: A comprehensive full-service professional retail store specializing in sporting goods, sporting goods, and furniture located in the heart of San Antonio with over 37 years of combined experience serving the local community with award-winning customer service and innovative solutions for all your retail store needs and requirements, committed to excellence and customer satisfaction

Domain suggestions:
- comprehensive.com
- comprehensivepro.com
- bestcomprehensive.com
- full.com
- fullpro.com",excessive_descriptions
398,tech startup specializing in blockchain,"['bostontech.com', 'localinnovation.net', 'data247.net', 'easyinn.com', 'platco.com', 'theclou.com', 'techstartupsmart.com']",tech_startup,medium,False,7,"['tech', 'startup', 'specializing', 'blockchain']",Boston,"Generate domain name suggestions for the following business:

Business: tech startup specializing in blockchain

Domain suggestions:
- bostontech.com
- localinnovation.net
- data247.net
- easyinn.com
- platco.com
- theclou.com
- techstartupsmart.com",
51,bookstore,"['topbook.com', 'bookstorelocal.com', 'bookstoreread.com', 'book31.co', 'groupbookstore.net', 'bookliteratureknowledge.com']",bookstore,simple,False,6,['bookstore'],,"Generate domain name suggestions for the following business:

Business: bookstore

Domain suggestions:
- topbook.com
- bookstorelocal.com
- bookstoreread.com
- book31.co
- groupbookstore.net
- bookliteratureknowledge.com",
289,domestic auto repair in Baltimore,"['baltimoreservice.com', 'baltimorebaltimore.com', 'car28.io', 'cargroup.com']",auto_repair,medium,False,4,"['domestic', 'auto', 'repair', 'baltimore']",Baltimore,"Generate domain name suggestions for the following business:

Business: domestic auto repair in Baltimore

Domain suggestions:
- baltimoreservice.com
- baltimorebaltimore.com
- car28.io
- cargroup.com",
311,healthcare clinic specializing in wellness,"['doctor.co', 'healthcareclinicclinic.com', 'carefy.com', 'doctor247.com', 'zoneclinic.net', 'healthcarewellness.com']",healthcare_clinic,medium,False,6,"['healthcare', 'clinic', 'specializing', 'wellness']",Phoenix,"Generate domain name suggestions for the following business:

Business: healthcare clinic specializing in wellness

Domain suggestions:
- doctor.co
- healthcareclinicclinic.com
- carefy.com
- doctor247.com
- zoneclinic.net
- healthcarewellness.com",
420,bookstore,"['liter57.net', 'readbookstore.com', 'readco.com']",bookstore,simple,False,3,['bookstore'],,"Generate domain name suggestions for the following business:

Business: bookstore

Domain suggestions:
- liter57.net
- readbookstore.com
- readco.com",
456,photography studio,"['picturephotographystudio.com', 'capturepicturephoto.com', 'memoryphotography.org', 'photographystudioplus.com', 'localphot.com', 'beststudio.com']",photography_studio,simple,False,6,"['photography', 'studio']",,"Generate domain name suggestions for the following business:

Business: photography studio

Domain suggestions:
- picturephotographystudio.com
- capturepicturephoto.com
- memoryphotography.org
- photographystudioplus.com
- localphot.com
- beststudio.com",
74,"full-service emergency veterinary clinic located in hillside, San Francisco, with a focus on customer satisfaction and quality service","['quickcare.com', 'workscare.net', 'sanfranciscoservice.org', '247francisco.com']",veterinary_clinic,complex,False,4,"['full', 'service', 'emergency', 'veterinary', 'clinic', 'hillside', 'san', 'francisco', 'focus', 'customer', 'satisfaction', 'quality', 'service']",San Francisco,"Generate domain name suggestions for the following business:

Business: full-service emergency veterinary clinic located in hillside, San Francisco, with a focus on customer satisfaction and quality service

Domain suggestions:
- quickcare.com
- workscare.net
- sanfranciscoservice.org
- 247francisco.com",
832,bookstore,"['bookstoreliteratureknowledge.com', 'knowlsolutions.com', 'bookstoreexpert.org', 'labread.com']",bookstore,simple,False,4,['bookstore'],,"Generate domain name suggestions for the following business:

Business: bookstore

Domain suggestions:
- bookstoreliteratureknowledge.com
- knowlsolutions.com
- bookstoreexpert.org
- labread.com",
15,photography art gallery in Philadelphia,"['creati.com', 'phi.com', 'creativeco.com', 'artgalleryart.com', 'photographybest.com']",art_gallery,medium,False,5,"['photography', 'art', 'gallery', 'philadelphia']",Philadelphia,"Generate domain name suggestions for the following business:

Business: photography art gallery in Philadelphia

Domain suggestions:
- creati.com
- phi.com
- creativeco.com
- artgalleryart.com
- photographybest.com",
569,"We are a full-service restaurant in New York specializing in bistro, known for our professional and friendly approach","['newyorkfriendly.com', 'restaurantspot.com', 'cuisinerestaurant.com', 'deliciousspecializingkitchen.com', 'cheflocal.com', 'bistrotaste.com']",restaurant,complex,False,6,"['full', 'service', 'restaurant', 'new', 'york', 'specializing', 'bistro', 'known', 'professional', 'friendly', 'approach']",New York,"Generate domain name suggestions for the following business:

Business: We are a full-service restaurant in New York specializing in bistro, known for our professional and friendly approach

Domain suggestions:
- newyorkfriendly.com
- restaurantspot.com
- cuisinerestaurant.com
- deliciousspecializingkitchen.com
- cheflocal.com
- bistrotaste.com",
edge_81,small business,"['small.com', 'smallpro.com', 'bestsmall.com']",unknown,edge_case,True,3,,,"Generate domain name suggestions for the following business:

Business: small business

Domain suggestions:
- small.com
- smallpro.com
- bestsmall.com",ambiguous_business
115,"We are a friendly real estate agency in Baltimore specializing in property management, committed to providing excellent property management services","['specia88.com', 'investio.com', 'realco.com', 'estate36.com', 'realestateagencyreal.com']",real_estate_agency,complex,False,5,"['friendly', 'real', 'estate', 'agency', 'baltimore', 'specializing', 'property', 'management', 'committed', 'providing', 'excellent', 'property', 'management', 'services']",Baltimore,"Generate domain name suggestions for the following business:

Business: We are a friendly real estate agency in Baltimore specializing in property management, committed to providing excellent property management services

Domain suggestions:
- specia88.com
- investio.com
- realco.com
- estate36.com
- realestateagencyreal.com",
667,brand strategy marketing agency in riverside,"['agencycreativemarketing.com', 'rivers19.com', 'creativehouston.com']",marketing_agency,medium,False,3,"['brand', 'strategy', 'marketing', 'agency', 'riverside']",Houston,"Generate domain name suggestions for the following business:

Business: brand strategy marketing agency in riverside

Domain suggestions:
- agencycreativemarketing.com
- rivers19.com
- creativehouston.com",
454,corporate accounting firm in San Antonio,"['taxlab.com', 'tax27.com', 'firmly.net', 'sanantonio.com', 'bookssanantonio.org']",accounting_firm,medium,False,5,"['corporate', 'accounting', 'firm', 'san', 'antonio']",San Antonio,"Generate domain name suggestions for the following business:

Business: corporate accounting firm in San Antonio

Domain suggestions:
- taxlab.com
- tax27.com
- firmly.net
- sanantonio.com
- bookssanantonio.org",
520,"friendly pilates fitness center located in residential area, Indianapolis, serving the Indianapolis area for over 14 years","['center58.com', 'center79.co', 'localmuscle.com', 'fitnesscentertraining.com', 'musclefy.com']",fitness_center,complex,False,5,"['friendly', 'pilates', 'fitness', 'center', 'residential', 'indianapolis', 'serving', 'indianapolis']",Indianapolis,"Generate domain name suggestions for the following business:

Business: friendly pilates fitness center located in residential area, Indianapolis, serving the Indianapolis area for over 14 years

Domain suggestions:
- center58.com
- center79.co
- localmuscle.com
- fitnesscentertraining.com
- musclefy.com",
edge_75,"Established cleaning service offering premium eco-friendly services, expert commercial solutions, and specialized commercial consulting for businesses and individuals throughout Denver and surrounding areas, with a dedicated team of professionals committed to delivering exceptional results and exceeding customer expectations","['established.com', 'establishedpro.com', 'bestestablished.com']",cleaning_service,edge_case,True,3,,,"Generate domain name suggestions for the following business:

Business: Established cleaning service offering premium eco-friendly services, expert commercial solutions, and specialized commercial consulting for businesses and individuals throughout Denver and surrounding areas, with a dedicated team of professionals committed to delivering exceptional results and exceeding customer expectations

Domain suggestions:
- established.com
- establishedpro.com
- bestestablished.com",excessive_descriptions
edge_90,Blockchain-enabled marketing agency with smart contracts and DeFi protocols,"['blockchain.com', 'blockchainpro.com']",marketing_agency,edge_case,True,2,,,"Generate domain name suggestions for the following business:

Business: Blockchain-enabled marketing agency with smart contracts and DeFi protocols

Domain suggestions:
- blockchain.com
- blockchainpro.com",technical_jargon
6,"full-service bookkeeping accounting firm located in suburban, San Diego, with a focus on customer satisfaction and quality service","['sanservice.com', 'diegofinancialfull.com', 'accountingfirmservice.net', 'firmsuburbandiego.com', 'accountingfirmfinancial.com', 'elitecustomer.com']",accounting_firm,complex,False,6,"['full', 'service', 'bookkeeping', 'accounting', 'firm', 'suburban', 'san', 'diego', 'focus', 'customer', 'satisfaction', 'quality', 'service']",San Diego,"Generate domain name suggestions for the following business:

Business: full-service bookkeeping accounting firm located in suburban, San Diego, with a focus on customer satisfaction and quality service

Domain suggestions:
- sanservice.com
- diegofinancialfull.com
- accountingfirmservice.net
- firmsuburbandiego.com
- accountingfirmfinancial.com
- elitecustomer.com",
172,family-owned healthcare clinic offering dental services in the midtown area of Phoenix,"['healingowned.com', '247doctor.com', 'easycare.com', 'ownedplace.com', 'easymedic.com', 'familymidtown.org']",healthcare_clinic,complex,False,6,"['family', 'owned', 'healthcare', 'clinic', 'offering', 'dental', 'services', 'midtown', 'phoenix']",Phoenix,"Generate domain name suggestions for the following business:

Business: family-owned healthcare clinic offering dental services in the midtown area of Phoenix

Domain suggestions:
- healingowned.com
- 247doctor.com
- easycare.com
- ownedplace.com
- easymedic.com
- familymidtown.org",
724,"friendly contemporary art gallery located in business district, Houston, with a focus on customer satisfaction and quality service","['easyexh.com', 'spotfrie.com', 'procustomer.com', 'artgallery.com', 'qualitybusiness.com']",art_gallery,complex,False,5,"['friendly', 'contemporary', 'art', 'gallery', 'business', 'district', 'houston', 'focus', 'customer', 'satisfaction', 'quality', 'service']",Houston,"Generate domain name suggestions for the following business:

Business: friendly contemporary art gallery located in business district, Houston, with a focus on customer satisfaction and quality service

Domain suggestions:
- easyexh.com
- spotfrie.com
- procustomer.com
- artgallery.com
- qualitybusiness.com",
edge_98,store,"['store.com', 'storepro.com', 'beststore.com']",retail_store,edge_case,True,3,,,"Generate domain name suggestions for the following business:

Business: store

Domain suggestions:
- store.com
- storepro.com
- beststore.com",minimal_descriptions
610,bookstore specializing in used books,"['literaturebook.com', 'easyspec.com', 'booksused.com', 'knowledgebookstore.com', 'spefy.co', 'bookco.com', 'literatureused.com']",bookstore,medium,False,7,"['bookstore', 'specializing', 'used', 'books']",Jacksonville,"Generate domain name suggestions for the following business:

Business: bookstore specializing in used books

Domain suggestions:
- literaturebook.com
- easyspec.com
- booksused.com
- knowledgebookstore.com
- spefy.co
- bookco.com
- literatureused.com",
14,emergency veterinary clinic in Nashville,"['vetnashville.com', 'petthe.com', 'spotnash.co', 'coemer.com', 'caremy.com']",veterinary_clinic,medium,False,5,"['emergency', 'veterinary', 'clinic', 'nashville']",Nashville,"Generate domain name suggestions for the following business:

Business: emergency veterinary clinic in Nashville

Domain suggestions:
- vetnashville.com
- petthe.com
- spotnash.co
- coemer.com
- caremy.com",
675,art gallery,"['creativegalleryexhibit.net', 'exh16.com', 'cr3ati.com', 'exhibify.co', 'gall.com', 'localgall.com']",art_gallery,simple,False,6,"['art', 'gallery']",,"Generate domain name suggestions for the following business:

Business: art gallery

Domain suggestions:
- creativegalleryexhibit.net
- exh16.com
- cr3ati.com
- exhibify.co
- gall.com
- localgall.com",
402,"convenient exotic pets veterinary clinic located in waterfront, San Antonio, serving the San Antonio area for over 13 years","['convenientpetserving.org', 'veter69.com', 'veterinaryclinicplus.com', 'veterinaryclinicpro.com']",veterinary_clinic,complex,False,4,"['convenient', 'exotic', 'pets', 'veterinary', 'clinic', 'waterfront', 'san', 'antonio', 'serving', 'san', 'antonio']",San Antonio,"Generate domain name suggestions for the following business:

Business: convenient exotic pets veterinary clinic located in waterfront, San Antonio, serving the San Antonio area for over 13 years

Domain suggestions:
- convenientpetserving.org
- veter69.com
- veterinaryclinicplus.com
- veterinaryclinicpro.com",
edge_109,place,"['place.com', 'placepro.com', 'bestplace.com']",unknown,edge_case,True,3,,,"Generate domain name suggestions for the following business:

Business: place

Domain suggestions:
- place.com
- placepro.com
- bestplace.com",minimal_descriptions
edge_53,The tech startup*,"['tech.com', 'techpro.com', 'besttech.com']",tech_startup,edge_case,True,3,,,"Generate domain name suggestions for the following business:

Business: The tech startup*

Domain suggestions:
- tech.com
- techpro.com
- besttech.com",unusual_characters
304,healthtech tech startup in San Antonio,"['aico.com', 'techstartupexpert.com', 'antoniocloudai.net']",tech_startup,medium,False,3,"['healthtech', 'tech', 'startup', 'san', 'antonio']",San Antonio,"Generate domain name suggestions for the following business:

Business: healthtech tech startup in San Antonio

Domain suggestions:
- aico.com
- techstartupexpert.com
- antoniocloudai.net",
173,auto repair,"['servicecar.com', 'auto.com', 'autoio.com']",auto_repair,simple,False,3,"['auto', 'repair']",,"Generate domain name suggestions for the following business:

Business: auto repair

Domain suggestions:
- servicecar.com
- auto.com
- autoio.com",
840,commercial cleaning service in suburban,"['247clean.co', 'spotclea.com', 'ser65.com', 'newyorkclean.com', 'spo93.com', 'cleaningservicecommercial.com', 'suburbannewyork.com']",cleaning_service,medium,False,7,"['commercial', 'cleaning', 'service', 'suburban']",New York,"Generate domain name suggestions for the following business:

Business: commercial cleaning service in suburban

Domain suggestions:
- 247clean.co
- spotclea.com
- ser65.com
- newyorkclean.com
- spo93.com
- cleaningservicecommercial.com
- suburbannewyork.com",
edge_78,AI-powered marketing agency utilizing machine learning algorithms and blockchain technology,"['powered.com', 'poweredpro.com', 'bestpowered.com']",marketing_agency,edge_case,True,3,,,"Generate domain name suggestions for the following business:

Business: AI-powered marketing agency utilizing machine learning algorithms and blockchain technology

Domain suggestions:
- powered.com
- poweredpro.com
- bestpowered.com",technical_jargon
329,artisan coffee shop in San Francisco,"['artisanbest.com', 'coffeefrancisco.com', 'groupespresso.com', 'coffeeshopmorning.com', 'sanfranciscobrew.net']",coffee_shop,medium,False,5,"['artisan', 'coffee', 'shop', 'san', 'francisco']",San Francisco,"Generate domain name suggestions for the following business:

Business: artisan coffee shop in San Francisco

Domain suggestions:
- artisanbest.com
- coffeefrancisco.com
- groupespresso.com
- coffeeshopmorning.com
- sanfranciscobrew.net",
626,real estate agency,"['spotesta.net', 'invest.io', 'agency91.co', 'zoneagen.net']",real_estate_agency,simple,False,4,"['real', 'estate', 'agency']",,"Generate domain name suggestions for the following business:

Business: real estate agency

Domain suggestions:
- spotesta.net
- invest.io
- agency91.co
- zoneagen.net",
edge_69,مطعم,"['unknown.com', 'unknownpro.com']",unknown,edge_case,True,2,,,"Generate domain name suggestions for the following business:

Business: مطعم

Domain suggestions:
- unknown.com
- unknownpro.com",non_english_elements
573,marketing agency,"['creativebrandagency.com', 'agencyco.co', 'zonemarketing.com']",marketing_agency,simple,False,3,"['marketing', 'agency']",,"Generate domain name suggestions for the following business:

Business: marketing agency

Domain suggestions:
- creativebrandagency.com
- agencyco.co
- zonemarketing.com",
30,wellness fitness center in Boston,"['trainingmuscle.com', 'fitnesscenterservice.com', 'musclefitwellness.com', 'easystro.com', 'strongboston.com', 'fittop.net']",fitness_center,medium,False,6,"['wellness', 'fitness', 'center', 'boston']",Boston,"Generate domain name suggestions for the following business:

Business: wellness fitness center in Boston

Domain suggestions:
- trainingmuscle.com
- fitnesscenterservice.com
- musclefitwellness.com
- easystro.com
- strongboston.com
- fittop.net",
491,fair trade coffee shop in Dallas,"['dallasshop.com', 'espressocafetrade.com', 'roasttrade.com', 'coffeeshopgroup.com', 'dallasbean.com', 'espressomorning.com', 'coffeebeanfair.com']",coffee_shop,medium,False,7,"['fair', 'trade', 'coffee', 'shop', 'dallas']",Dallas,"Generate domain name suggestions for the following business:

Business: fair trade coffee shop in Dallas

Domain suggestions:
- dallasshop.com
- espressocafetrade.com
- roasttrade.com
- coffeeshopgroup.com
- dallasbean.com
- espressomorning.com
- coffeebeanfair.com",
572,"We are a quality consulting firm in Baltimore specializing in IT, dedicated to meeting all your consulting firm needs","['groupsolu.com', 'consultingdedicatedneeds.com', 'expeio.com', 'consultingfirmexpert.org', 'businessquality.com', 'businco.co', 'consuplus.com']",consulting_firm,complex,False,7,"['quality', 'consulting', 'firm', 'baltimore', 'specializing', 'dedicated', 'meeting', 'consulting', 'firm', 'needs']",Baltimore,"Generate domain name suggestions for the following business:

Business: We are a quality consulting firm in Baltimore specializing in IT, dedicated to meeting all your consulting firm needs

Domain suggestions:
- groupsolu.com
- consultingdedicatedneeds.com
- expeio.com
- consultingfirmexpert.org
- businessquality.com
- businco.co
- consuplus.com",
845,"locally-owned cosmetic dental practice located in midtown, Charlotte, committed to providing excellent cosmetic services","['dentalco.com', 'charlottecosm.com', 'excehub.co', 'dentaloral.com']",dental_practice,complex,False,4,"['locally', 'owned', 'cosmetic', 'dental', 'practice', 'midtown', 'charlotte', 'committed', 'providing', 'excellent', 'cosmetic', 'services']",Charlotte,"Generate domain name suggestions for the following business:

Business: locally-owned cosmetic dental practice located in midtown, Charlotte, committed to providing excellent cosmetic services

Domain suggestions:
- dentalco.com
- charlottecosm.com
- excehub.co
- dentaloral.com",
20,catering,"['primeparty.net', 'thecatering.com', 'cateringexpert.com', 'partycateringevent.com']",catering,simple,False,4,['catering'],,"Generate domain name suggestions for the following business:

Business: catering

Domain suggestions:
- primeparty.net
- thecatering.com
- cateringexpert.com
- partycateringevent.com",
326,martial arts fitness center in financial district,"['musclelocal.com', 'fitnesscenterexpert.com', 'districtmusclefitness.com']",fitness_center,medium,False,3,"['martial', 'arts', 'fitness', 'center', 'financial', 'district']",Dallas,"Generate domain name suggestions for the following business:

Business: martial arts fitness center in financial district

Domain suggestions:
- musclelocal.com
- fitnesscenterexpert.com
- districtmusclefitness.com",
810,local photography studio offering artistic services,"['servicesphotographystudio.com', 'memory.io', 'memoryjacksonville.com', 'spotstudio.com', 'studiojacksonville.net']",photography_studio,medium,False,5,"['local', 'photography', 'studio', 'offering', 'artistic', 'services']",Jacksonville,"Generate domain name suggestions for the following business:

Business: local photography studio offering artistic services

Domain suggestions:
- servicesphotographystudio.com
- memory.io
- memoryjacksonville.com
- spotstudio.com
- studiojacksonville.net",
